"","overall","variables"
"49",114.960611941479,"mean_delay_1m"
"13",53.3382952382336,"contract_status6"
"15",51.4526691399877,"contract_status8"
"45",29.0497944091407,"delay_indiv_140"
"43",25.0800198267891,"delay_indiv"
"44",21.0440624427285,"delay_indiv_21"
"25",18.2837600483852,"number_other_product"
"48",17.0826896445725,"mean_delay_3m"
"9",15.1306426344666,"product_type3"
"42",9.0392949897257,"due_amount"
"16",8.92662758524522,"contract_status9"
"14",7.48167630774062,"contract_status7"
"7",7.38703386606911,"paid_amount"
"3",4.58867361365003,"due_date"
"18",4.27086414246772,"gender2"
"34",3.32079776024425,"total_earningslevel7"
"33",2.96303923730451,"total_earningslevel6"
"31",2.87559610895047,"total_earningslevel4"
"36",2.81554847274301,"total_earningslevel9"
"29",2.70927931758165,"total_earningslevel2"
"30",2.55319106961252,"total_earningslevel3"
"11",2.38824375025052,"product_type5"
"32",2.36856892462877,"total_earningslevel5"
"37",2.19822976695402,"total_earningslevel10"
"27",2.05136013461655,"client_mobileTRUE"
"8",2.0350332041085,"product_type2"
"19",2.03061371139755,"marital_status2"
"23",1.99487035293074,"marital_status6"
"6",1.92412840516109,"cf_val"
"5",1.90933410670179,"kc_flagTRUE"
"38",1.78453842447198,"total_earningsnot_declared"
"20",1.72786883359045,"marital_status3"
"21",1.70956370645096,"marital_status4"
"47",1.65597585987496,"mean_delay_6m"
"46",1.6186296140748,"mean_delay_12m"
"40",1.37732713689112,"birth_month"
"22",1.29051085105245,"marital_status5"
"10",1.25692838022493,"product_type4"
"4",1.10354296927488,"different_contact_areaTRUE"
"39",1.04350302510097,"birth_year"
"35",1.0070891134695,"total_earningslevel8"
"2",0.926903841220943,"payment_order"
"12",0.67950337429939,"contract_status5"
"24",0.653921961148816,"number_of_children"
"1",0.556376264798427,"contract_id"
"17",0.31748081364628,"business_discount1"
"26",0.306174556728944,"clients_phoneTRUE"
"41",0.126759220004093,"kzmz_flagTRUE"
"28",0.0282387866304111,"client_emailTRUE"
